Unique Name,Dust,
Nadir Mode,4380,
Honoured Alliance,4380,
Geofri's Baptism,4320,
Sundance,4320,
Slitherpinch,4320,
Queen's Decree,4320,
Alkem Eira,4320,
Glitterdisc,4320,
Kiara's Determination,4320,
Sands of Shakari,4320,
Queen's Escape,4320,
Sunspite,4320,
Geofri's Devotion,4320,
Thousand Ribbons,4240,
Tabula Rasa,4240,
Vizaru's Folly,4180,
Ewar's Mirage,4180,
Mark of the Red Covenant,4180,
Atziri's Promise,4140,
Coward's Legacy,4120,
Circle of Guilt,4120,
Chains of Emancipation,4120,
Carnage Heart,4060,
Foxshade,4060,
Mana Sponge,4060,
Prismweave,4060,
Duskwing,4060,
The Learning Stone,4060,
Timetwist,4060,
Fox's Fortune,4060,
Malachai's Simula,4020,
Ashrend,4020,
Solaris Lorica,4020,
Trolltimber Spire,4020,
Watcher's Eye,4000,
Kitava's Teachings,4000,
Calamitous Visions,4000,
Natural Affinity,4000,
The Interrogation,4000,
The Siege,4000,
The Front Line,4000,
One With Nothing,4000,
Megalomaniac,4000,
Widowhail,4000,
Pagan Geis,3940,
Storm Prison,3940,
Amplification Rod,3940,
Facebreaker,3900,
Mokou's Embrace,3900,
Ahkeli's Mountain,3900,
The Peregrine,3840,
Stormcharger,3840,
Giantsbane,3840,
Whakatutuki o Matua,3840,
Flesh and Spirit,3780,
Replica Bloodplay,3780,
Bones of Ullr,3720,
Quecholli,3720,
Mordhau,3720,
Deerstalker,3720,
Fidelitas' Spike,3720,
Bated Breath,3720,
Praxis,3720,
Panquetzaliztli,3720,
Boreal Shepherd,3620,
Perandus Blazon,3500,
Ungil's Gauche,3500,
Brightbeak,3500,
Daresso's Salute,3500,
Victario's Acuity,3500,
Asphyxia's Wrath,3500,
Shaper's Seed,3500,
Martial Artistry,3500,
Survival Instincts,3500,
Survival Skills,3500,
Survival Secrets,3500,
Cannibalistic Habits,3500,
Spire of Stone,3500,
Apparitions,3500,
Vampire's Might,3500,
Hotheaded,3500,
Combustibles,3500,
Weight of Sin,3500,
The Naming Temporary,3500,
Fragile Bloom,3500,
Brawn,3500,
Clear Mind,3500,
Specialised,3500,
Miser of Misery,3500,
Sacrificial Harvest,3500,
Vaal Sentencing,3500,
Poacher's Aim,3500,
Warlord's Reach,3500,
Assassin's Haste,3500,
Conqueror's Efficiency,3500,
Conqueror's Potency,3500,
Conqueror's Longevity,3500,
Ancient Waystones,3500,
Mutated Growth,3500,
Hungry Abyss,3500,
Zerphi's Youth,3500,
Corrupted Energy,3500,
Blood Sacrifice,3500,
Brittle Barrier,3500,
Pugilist,3500,
Cold Steel,3500,
Fireborn,3500,
Anatomical Knowledge,3500,
The Deep One's Hide,3500,
Lavianga's Wisdom,3500,
Shattered Chains,3500,
Weight of the Empire,3500,
Steel Spirit,3500,
Growing Agony,3500,
The Vigil,3500,
Rolling Flames,3500,
Winter's Bounty,3500,
Spirited Response,3500,
Spine of the First Claimant,3500,
Izaro's Turmoil,3500,
Extractor Mentis,3500,
Rapid Expansion,3500,
Volley Fire,3500,
Demigod's Dominance,3500,
The Tempestuous Steel,3500,
Cheap Construction,3500,
Hair Trigger,3500,
Coated Shrapnel,3500,
Unstable Payload,3500,
Saemus' Gift,3500,
Underdog's Fury,3500,
Collateral Damage,3500,
Sudden Ignition,3500,
Overwhelming Odds,3500,
First Snow,3500,
Omen on the Winds,3500,
Wildfire,3500,
Fight for Survival,3500,
Might and Influence,3500,
Frozen Trail,3500,
Ring of Blades,3500,
Boundless Grasp,3500,
Inevitability,3500,
Winter Burial,3500,
Spreading Rot,3500,
Violent Dead,3500,
Hazardous Research,3500,
Choking Ash,3500,
Straight and True,3500,
From Dust,3500,
The Long Winter,3500,
Unearth Threshold,3500,
Toxic Vapours,3500,
Seething Fury,3500,
Replica Conqueror's Efficiency,3500,
Lord of Steel,3500,
Replica Hotheaded,3500,
Replica Pure Talent,3500,
Replica Fragile Bloom,3500,
Replica Unstable Payload,3500,
Replica Blood Sacrifice,3500,
Replica Cheap Construction,3500,
Frostferno,3500,
The Tactician,3500,
The Nomad,3500,
Divine Inferno,3500,
Victario's Flight,3460,
Ashcaller,3460,
Putembo's Valley,3460,
Ghostwrithe,3360,
Dusktoe,3300,
Wideswing,3300,
Ghostmarch,3300,
Faminebind,3300,
Roth's Reach,3300,
Duskblight,3300,
Thrillsteel,3300,
Doryani's Invitation,3260,
Night's Hold,3260,
String of Servitude,3260,
Bear's Girdle,3260,
Hrimnor's Hymn,3200,
Aurumvorax,3200,
Hrimnor's Dirge,3200,
Malachai's Awakening,3200,
Kaltenhalt,3120,
Battlehaste,3120,
Nomic's Storm,3120,
Dreadarc,3120,
Kaltensoul,3120,
Dreadsurge,3120,
Uzaza's Meadow,3080,
Wreath of Phrecia,3080,
Demigod's Presence,3020,
The Ignomon,3020,
Band of the Victor,3020,
Bloodplay,3020,
Frost Unbroken,3020,
The Effigon,3020,
The Untouched Soul,3020,
The Goddess Bound,2980,
Shackles of the Wretched,2980,
Hyrri's Bite,2940,
Hyrri's Demise,2940,
Chain of Endurance,2940,
Limbsplit,2860,
Pillar of the Caged God,2860,
Dying Breath,2860,
Realmshaper,2860,
The Cauteriser,2860,
Realm Ender,2860,
Doedre's Damning,2820,
Quill Rain,2820,
Replica Quill Rain,2820,
Shiversting,2760,
Honourhome,2760,
Doedre's Tenure,2760,
Demigod's Triumph,2760,
Ungils's Coil,2760,
Demigod's Stride,2760,
Galla's Riposte,2760,
Doedre's Elixir,2760,
Demigod's Touch,2760,
Stormblast,2760,
Demigod's Bounty,2760,
Demigod's Eye,2760,
Wildslash,2760,
Demigod's Immortality,2760,
Doedre's Malevolence,2760,
Honourhold,2760,
Kaom's Sign,2740,
Replica Blood Thorn,2740,
Replica Fencoil,2740,
Feastbind,2680,
Sadima's Touch,2660,
Goldrim,2660,
Sacrificial Heart,2660,
Replica Last Resort,2660,
Maligaro's Etcher,2600,
The Princess,2600,
Gorebreaker,2600,
Axiom Perpetuum,2600,
Coward's Chains,2580,
Replica Prismweave,2580,
Wondertrap,2540,
Hrimsorrow,2540,
Storm Cloud,2540,
Hrimburn,2540,
The Tempest,2540,
Greedtrap,2540,
Wildwrap,2540,
Bramblejack,2500,
Crest of Perandus,2460,
Asenath's Chant,2460,
Stone of Lazhwar,2380,
Broadstroke,2380,
Karui Ward,2380,
Springleaf,2380,
The Rathorn,2380,
Tear of Purity,2380,
Karui Charge,2380,
The Oak,2380,
The Screaming Eagle,2320,
Abberath's Horn,2320,
The Gryphon,2320,
Ondar's Clasp,2260,
Wheel of the Stormsail,2260,
Goredrill,2260,
Sanguine Gambol,2260,
The Megalomaniac,2260,
Wurmfist,2180,
Vestige of Divinity,2180,
Fencoil,2180,
Craghead,2180,
The Blood Thorn,2180,
Kaom's Way,2180,
Cragfall,2180,
Mirebough,2180,
Sidhebreath,2120,
Crown of Thorns,2120,
Araku Tiki,2120,
Wanderlust,2120,
Last Resort,2120,
DrTestapus' Charm,2120,
Thunder of the Dawn,2120,
Ironweld,2120,
Scar of Fate,2120,
Ngamahu Tiki,2120,
Martyr's Crown,2120,
Sidhebite,2120,
Blackheart,2060,
Blackgleam,2060,
Dewath's Hide,2060,
Remnant of Empires,2060,
Rust of Winter,2060,
Chains of Time,2060,
Voidheart,2060,
Oni-Goroshi,2060,
Redbeak,2000,
Silverbranch,2000,
Ezomyte Peak,2000,
Lochtonial Caress,2000,
Fragment of Eternity,2000,
Splinter of the Moon,2000,
Ashes of the Sun,2000,
Relic of the Cycle,2000,
Tear of Entropy,2000,
Lifesprig,2000,
Celestial Fragment,2000,
Bartek's Finger,2000,
Blood of Summer,2000,
Talisman of the Victor,2000,
Slivers of Providence,2000,
First Piece of the Arcane,2000,
Second Piece of the Arcane,2000,
Third Piece of the Arcane,2000,
First Piece of Time,2000,
Second Piece of Time,2000,
Terror,2000,
Stalwart Defenders,2000,
Misinformation,2000,
Irresistible Temptation,2000,
Territories Unknown,2000,
War Among the Stars,2000,
Booming Populace,2000,
The Warlord's Annex,2000,
Demigod's Authority,2000,
The Walls,2000,
The Claim,2000,
The Closest Peak,2000,
Atop the Atlas,2000,
The Vast Horizon,2000,
The Builder,2000,
Restless Cycles,2000,
The False Hope,2000,
Wall of Brambles,2000,
Ezomyte Hold,2000,
Silverbough,2000,
Dreadbeak,2000,
Beauty,2000,
Curiosity,2000,
Ambition,2000,
Cooperation,2000,
The Hour of Divinity,2000,
The Night Lamp,2000,
The Blood of Innocence,2000,
The Perandus Pact,2000,
Curio of Absorption,2000,
Curio of Consumption,2000,
Curio of Potential,2000,
Curio of Decay,2000,
The Light of Meaning,2000,
